rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
73,THA / THA,"Parinyawat THONGNUAM, Natcha SAENGCHOTE",+5,5 - 8,"$1,454.34","16,960 / 10","https://bwfbadminton.com/player/73786/parinyawat-thongnuam,https://bwfbadminton.com/player/74490/natcha-saengchote","73786, 74490"
74,FRA / FRA,"Gaetan MITTELHEISSER, Emilie LEFEL",+8,19 - 15,"$14,823.86","16,570 / 6","https://bwfbadminton.com/player/94817/gaetan-mittelheisser,https://bwfbadminton.com/player/54079/emilie-lefel","94817, 54079"
75,HKG / HKG,"TAM Chun Hei, NG Tsz Yau",-2,4 - 2,"$1,203.12","15,900 / 6","https://bwfbadminton.com/player/30163/tam-chun-hei,https://bwfbadminton.com/player/61986/ng-tsz-yau","30163, 61986"
76,TPE / TPE,"LIN Chia Yu, WU Ti Jung",-2,17 - 18,"$8,239.85","15,840 / 6","https://bwfbadminton.com/player/66194/lin-chia-yu,https://bwfbadminton.com/player/95143/wu-ti-jung","66194, 95143"
77,TPE / TPE,"LEE Jhe-Huei, WU Ti Jung",+7,4 - 5,"$6,376.11","15,330 / 7","https://bwfbadminton.com/player/99102/lee-jhe-huei,https://bwfbadminton.com/player/95143/wu-ti-jung","99102, 95143"
78,INA / INA,"Yantoni Edy SAPUTRA, Marsheilla Gischa ISLAMI",-1,8 - 3,"$2,306.86","15,310 / 7","https://bwfbadminton.com/player/96005/yantoni-edy-saputra,https://bwfbadminton.com/player/96862/marsheilla-gischa-islami","96005, 96862"
79,INA / INA,"Riky WIDIANTO, Gloria Emanuelle WIDJAJA",0,3 - 1,"$89,916.58","14,810 / 5","https://bwfbadminton.com/player/54175/riky-widianto,https://bwfbadminton.com/player/81702/gloria-emanuelle-widjaja","54175, 81702"
80,INA / INA,"Lukhi Apri NUGROHO, Ririn AMELIA",0,7 - 6,"$6,119.34","14,430 / 8","https://bwfbadminton.com/player/58661/lukhi-apri-nugroho,https://bwfbadminton.com/player/88747/ririn-amelia","58661, 88747"
81,RUS / RUS,"Alexandr ZINCHENKO, Olga MOROZOVA",+7,35 - 20,"$2,830.01","14,250 / 8","https://bwfbadminton.com/player/65143/alexandr-zinchenko,https://bwfbadminton.com/player/85822/olga-morozova","65143, 85822"
82,CHN / CHN,"HE Ji Ting, DU Yue",-1,12 - 6,"$3,932.50","13,800 / 5","https://bwfbadminton.com/player/59673/he-ji-ting,https://bwfbadminton.com/player/65984/du-yue","59673, 65984"
83,IND /  / IND,"ATTRI Manu, Ashwini PONNAPPA",0,9 - 4,"$11,676.24","13,680 / 5","https://bwfbadminton.com/player/59803/attri-manu,https://bwfbadminton.com/player/49765/ashwini-ponnappa","59803, 49765"
83,TPE / TPE,"LU Ching Yao, CHIANG Kai Hsin",+21,2 - 3,"$2,381.21","13,680 / 5","https://bwfbadminton.com/player/56746/lu-ching-yao,https://bwfbadminton.com/player/84929/chiang-kai-hsin","56746, 84929"
85,IND / IND,"Juhi DEWANGAN, Venkat Gaurav PRASAD",+12,5 - 23,"$4,034.98","13,330 / 7","https://bwfbadminton.com/player/67854/juhi-dewangan,https://bwfbadminton.com/player/78600/venkat-gaurav-prasad","67854, 78600"
86,CAN / CAN,"Toby NG, Rachel HONDERICH",-1,3 - 2,"$17,758.10","13,240 / 5","https://bwfbadminton.com/player/53930/toby-ng,https://bwfbadminton.com/player/95664/rachel-honderich","53930, 95664"
87,CHN / CHN,"ZHENG Si Wei, LI Yin Hui",-1,9 - 1,"$131,839.37","12,950 / 2","https://bwfbadminton.com/player/83046/zheng-si-wei,https://bwfbadminton.com/player/82249/li-yin-hui","83046, 82249"
88,MAS / MAS,"GOH Soon Huat, LAI Shevon Jemie",-1,0 - 0,"$5,409.05","12,900 / 3","https://bwfbadminton.com/player/92593/goh-soon-huat,https://bwfbadminton.com/player/56352/lai-shevon-jemie","92593, 56352"
89,IND / IND,"Arun VISHNU, Aparna BALAN",-14,61 - 58,"$16,719.24","12,780 / 5","https://bwfbadminton.com/player/55448/arun-vishnu,https://bwfbadminton.com/player/51651/aparna-balan","55448, 51651"
90,FRA / FRA,"Jordan CORVEE, Anne TRAN",+4,13 - 10,$584.99,"12,740 / 9","https://bwfbadminton.com/player/88804/jordan-corvee,https://bwfbadminton.com/player/98854/anne-tran","88804, 98854"
91,MAS / MAS,"WONG Fai Yin, LAI Shevon Jemie",-2,21 - 17,"$8,904.97","12,570 / 6","https://bwfbadminton.com/player/78518/wong-fai-yin,https://bwfbadminton.com/player/56352/lai-shevon-jemie","78518, 56352"
92,THA / THA,"Sudket PRAPAKAMOL, Saralee THOUNGTHONGKAM",-2,296 - 179,"$336,467.45","12,560 / 5","https://bwfbadminton.com/player/10650/sudket-prapakamol,https://bwfbadminton.com/player/7065/saralee-thoungthongkam","10650, 7065"
